nemotecnico;fecha_emision;fecha_vencimiento;periodicidad;tasa_cupon;codigo_emisor;razon_social;moneda
BPMG11695A10;20160908;20260908;TV;3.74;PMG;PROMIGAS S.A. E.S.P.;COP
BPMG1099C15;20090827;20240827;TV;5.99;PMG;PROMIGAS S.A. E.S.P.;COP
BPMG01159A15;20150311;20300311;TV;4.37;PMG;PROMIGAS S.A. E.S.P.;COP
BPMG01139A10;20130129;20230129;TV;3.22;PMG;PROMIGAS S.A. E.S.P.;COP
BODS120SA003;20201002;20231002;TV;5.2;ODS;ODINSA S.A.;COP
BODS1179C005;20171004;20221004;TV;3.98;ODS;ODINSA S.A.;COP
BLVS1219A005;20210223;20260223;TV;1.36;LVS;BANCO COMERCIAL AV VILLAS S.A.;COP
BLVS1219A003;20210223;20240223;TV;0.71;LVS;BANCO COMERCIAL AV VILLAS S.A.;COP
BLGC06159C10;20150318;20250318;TV;4;BCB;BANCOLOMBIA S.A.;COP
BLGC05149D10;20140723;20240723;TV;4.25;BCB;BANCOLOMBIA S.A.;COP
BLGC03119D12;20120418;20240418;TV;4.5;BCB;BANCOLOMBIA S.A.;COP
BITU920SA060;20200929;20250929;TV;4.83;ITU;ITAU CORPBANCA COLOMBIA S.A.;COP
BITU9208B036;20200929;20230929;MV;1.28;ITU;ITAU CORPBANCA COLOMBIA S.A.;COP
BITU820SA060;20200227;20250227;TV;6;ITU;ITAU CORPBANCA COLOMBIA S.A.;COP
BITU719SA060;20191016;20241016;TV;6.05;ITU;ITAU CORPBANCA COLOMBIA S.A.;COP
BITU6199C060;20190521;20240521;TV;2.86;ITU;ITAU CORPBANCA COLOMBIA S.A.;COP
BITU5189C048;20181122;20221122;TV;2.91;ITU;ITAU CORPBANCA COLOMBIA S.A.;COP
BITU4189C060;20180621;20230621;TV;3.19;ITU;ITAU CORPBANCA COLOMBIA S.A.;COP
BITU2169C120;20160810;20260810;TV;3.94;ITU;ITAU CORPBANCA COLOMBIA S.A.;COP
BITU1139AS15;20130207;20280207;TV;4;ITU;ITAU CORPBANCA COLOMBIA S.A.;COP
BITU0219C120;20210629;20310629;TV;3.72;ITU;ITAU CORPBANCA COLOMBIA S.A.;COP
BITU0219C036;20210629;20240629;TV;1.76;ITU;ITAU CORPBANCA COLOMBIA S.A.;COP
BISU01169C7;20160622;20230622;TV;3.9;ISU;SURAMERICANA S.A.;COP
BISU01169C10;20160622;20260622;TV;4.09;ISU;SURAMERICANA S.A.;COP
BISG6229C007;20220303;20290303;TV;4.05;ISG;ISAGEN S.A. E.S.P.;COP
BISG521SA005;20210519;20260519;TV;6.49;ISG;ISAGEN S.A. E.S.P.;COP
