fecha_hora;nemotecnico;cantidad;monto;precio_limpio;tasa;rueda;fecha_emision;fecha_vencimiento;periodicidad;tasa_cupon;codigo_emisor;razon_social
2022-09-14:12:44:31.002841;TFIT10260331;90000000000;67570200000;71.741;12.569;TRD;20210326;20310326;AV;7;GNA;GOBIERNO REPUBLICA DE COLOMBIA
2022-09-14:12:44:19.002840;TUVT17230223;10000000;3290266280;101.959;0.321;TRD;20060223;20230223;AV;4.75;GNA;GOBIERNO REPUBLICA DE COLOMBIA
2022-09-14:12:44:00.002839;TFIT16090736;32000000000;19260896000;59.043;12.665;TRD;20200709;20360709;AV;6.25;GNA;GOBIERNO REPUBLICA DE COLOMBIA
2022-09-14:12:42:32.002827;TFIT16240724;1000000000;984367000;97.012;11.842;TRD;20080724;20240724;AV;10;GNA;GOBIERNO REPUBLICA DE COLOMBIA
2022-09-14:12:41:49.002815;TFIT31261050;7000000000;4559436000;58.719;12.66;TRD;20191026;20501026;AV;7.25;GNA;GOBIERNO REPUBLICA DE COLOMBIA
2022-09-14:12:41:22.002808;TFIT10260331;16000000000;11999296000;71.697;12.577;TRD;20210326;20310326;AV;7;GNA;GOBIERNO REPUBLICA DE COLOMBIA
2022-09-14:12:40:32.002804;TFIT15260826;500000000;429038285;85.397;12.39;TRD;20110826;20260826;AV;7.5;GNA;GOBIERNO REPUBLICA DE COLOMBIA
2022-09-14:12:40:32.002803;TFIT15260826;500000000;428937000;85.397;12.39;TRD;20110826;20260826;AV;7.5;GNA;GOBIERNO REPUBLICA DE COLOMBIA
2022-09-14:12:40:23.002802;TFIT15260826;2000000000;1716153142;85.397;12.39;TRD;20110826;20260826;AV;7.5;GNA;GOBIERNO REPUBLICA DE COLOMBIA
2022-09-14:12:40:23.002801;TFIT15260826;2000000000;1715748000;85.397;12.39;TRD;20110826;20260826;AV;7.5;GNA;GOBIERNO REPUBLICA DE COLOMBIA
2022-09-14:12:39:19.002796;TFIC13260824;65000000;52078910;80.121;12.05;ABLO;20110826;20240826;PV;0;GNA;GOBIERNO REPUBLICA DE COLOMBIA
2022-09-14:12:38:27.002791;TUVT11170327;8000000;2443294048;95.457;4.43;TRD;20160317;20270317;AV;3.3;GNA;GOBIERNO REPUBLICA DE COLOMBIA
2022-09-14:12:36:06.002778;TFIT15260826;18000000000;15445378274;85.397;12.39;TRD;20110826;20260826;AV;7.5;GNA;GOBIERNO REPUBLICA DE COLOMBIA
2022-09-14:12:36:06.002777;TFIT15260826;18000000000;15441732000;85.397;12.39;TRD;20110826;20260826;AV;7.5;GNA;GOBIERNO REPUBLICA DE COLOMBIA
2022-09-14:12:35:58.002770;TFIT15260826;460000000;394497840;85.37;12.4;ABLO;20110826;20260826;AV;7.5;GNA;GOBIERNO REPUBLICA DE COLOMBIA
2022-09-14:12:35:45.002761;TFIT15260826;350000000;300161400;85.37;12.4;ABLO;20110826;20260826;AV;7.5;GNA;GOBIERNO REPUBLICA DE COLOMBIA
2022-09-14:12:33:45.002739;TUVT20040435;50000000;14419214319;89.559;5.95;TRD;20150404;20350404;AV;4.75;GNA;GOBIERNO REPUBLICA DE COLOMBIA
2022-09-14:12:33:33.002735;TUVT20040435;100000000;28838428639;89.559;5.95;TRD;20150404;20350404;AV;4.75;GNA;GOBIERNO REPUBLICA DE COLOMBIA
2022-09-14:12:33:23.002730;TFIT10260331;33205000000;24926661450;71.732;12.571;TRD;20210326;20310326;AV;7;GNA;GOBIERNO REPUBLICA DE COLOMBIA
2022-09-14:12:33:15.002728;TFIC13260824;150000000;120182100;80.121;12.05;ABLO;20110826;20240826;PV;0;GNA;GOBIERNO REPUBLICA DE COLOMBIA
2022-09-14:12:32:57.002725;TUVT11170327;30000000;9164900572;95.484;4.423;TRD;20160317;20270317;AV;3.3;GNA;GOBIERNO REPUBLICA DE COLOMBIA
2022-09-14:12:30:22.002694;TFIT16240724;2000000000;1968174000;96.984;11.86;TRD;20080724;20240724;AV;10;GNA;GOBIERNO REPUBLICA DE COLOMBIA
2022-09-14:12:30:11.002689;TFIC13260824;59000000;47271626;80.121;12.05;ABLO;20110826;20240826;PV;0;GNA;GOBIERNO REPUBLICA DE COLOMBIA
2022-09-14:12:30:11.002688;TFIC13260824;73000000;58488622;80.121;12.05;ABLO;20110826;20240826;PV;0;GNA;GOBIERNO REPUBLICA DE COLOMBIA
2022-09-14:12:30:11.002687;TFIC13260824;64100000;51357817;80.121;12.05;ABLO;20110826;20240826;PV;0;GNA;GOBIERNO REPUBLICA DE COLOMBIA
2022-09-14:12:30:11.002686;TFIC13260824;138900000;111288625;80.121;12.05;ABLO;20110826;20240826;PV;0;GNA;GOBIERNO REPUBLICA DE COLOMBIA
2022-09-14:12:30:03.002683;TFIC13260824;1100000;881335;80.121;12.05;ABLO;20110826;20240826;PV;0;GNA;GOBIERNO REPUBLICA DE COLOMBIA
2022-09-14:12:30:03.002682;TFIC13260824;58000000;46470412;80.121;12.05;ABLO;20110826;20240826;PV;0;GNA;GOBIERNO REPUBLICA DE COLOMBIA
2022-09-14:12:30:03.002681;TFIC13260824;100000000;80121400;80.121;12.05;ABLO;20110826;20240826;PV;0;GNA;GOBIERNO REPUBLICA DE COLOMBIA
2022-09-14:12:30:03.002680;TFIC13260824;40900000;32769653;80.121;12.05;ABLO;20110826;20240826;PV;0;GNA;GOBIERNO REPUBLICA DE COLOMBIA
2022-09-14:12:29:13.002667;TFIC12280424;200000000;166350200;83.175;12.05;ABLO;20120428;20240428;PV;0;GNA;GOBIERNO REPUBLICA DE COLOMBIA
