ACN;AMT;AMZN;APD;AVB;AZO;BALL;BLK;CBRE;CDW;CF;CHRW;CNC;CSX;DGX;EA;FDS;FDX;GE;GL;GM;HAS;HBAN;HPQ;IDXX;ILMN;IVZ;KEYS;MCHP;MCO;NEM;NVR;NWSA;PEAK;PGR;PHM;PLD;REG;RHI;ROL;SEE;SJM;SNA;STX;TRV;UAL;USB;VLO;VRSK;YUM
106.82;93.574;37.493;124.588;145.52;789.79;35.664;327.393;31.49;48.812;26.69;63.587;28.255;11.1;81.542;77.94;153.933;172.416;223.458;70.241;30.079;66.2;10.398;12.396;117.27;128.04;23.323;36.57;29.344;89.154;29.404;1669.0;10.583;22.627;29.488;16.967;45.044;55.099;43.575;14.029;41.579;108.315;149.442;28.477;106.4;72.88;42.539;52.681;79.195;57.233
103.847;92.145;41.174;121.793;143.467;724.98;36.229;323.701;30.36;48.269;29.92;66.407;31.635;14.332;81.559;82.562;162.994;175.468;211.603;70.031;31.949;70.217;10.706;12.678;122.33;160.1;22.231;37.07;30.807;98.044;31.358;1858.0;11.349;23.084;31.1;19.952;42.024;55.722;42.038;14.644;44.477;114.904;158.395;34.236;102.957;70.47;43.833;50.707;80.629;59.221
111.717;102.197;42.252;122.412;152.134;736.55;34.932;335.369;35.62;55.194;26.639;70.17;35.25;15.002;86.879;85.6;167.562;179.059;212.386;73.971;32.15;82.949;11.189;14.633;144.94;167.4;24.745;37.6;33.172;105.326;29.594;1934.97;11.838;24.964;32.545;20.453;43.916;56.217;43.092;15.184;42.624;119.878;148.046;36.542;106.856;74.09;45.79;52.396;80.902;59.305
109.328;108.206;44.327;117.898;151.985;723.05;35.342;331.95;34.79;54.224;25.091;67.481;35.63;14.435;87.548;88.588;155.756;181.072;214.008;73.504;30.859;85.476;10.595;15.062;154.61;170.64;23.753;36.14;33.919;106.329;28.488;2106.88;12.005;24.105;33.148;21.844;44.63;53.44;43.836;15.47;39.965;111.468;147.782;34.828;105.37;70.64;42.876;51.652;79.166;58.016
110.623;112.124;46.25;123.294;158.366;692.19;36.593;334.973;35.81;55.521;22.86;63.831;37.2;15.766;94.074;93.833;154.197;176.381;208.191;73.333;30.54;84.868;10.235;15.977;167.73;184.86;25.544;37.43;34.746;112.289;29.267;2111.25;11.842;24.159;33.605;21.111;47.227;50.856;41.34;16.178;40.508;107.761;146.783;32.382;106.936;70.21;42.921;50.343;80.795;59.696
114.691;117.394;49.731;126.418;159.534;605.92;38.93;356.461;34.88;56.545;22.996;58.835;36.315;16.798;97.427;112.15;156.492;180.23;196.629;72.176;29.914;90.645;9.98;15.926;168.39;177.36;24.582;38.64;38.295;112.413;29.561;2282.38;12.456;24.151;35.898;21.111;48.208;48.988;41.735;17.945;40.876;108.721;141.64;33.488;109.74;79.67;42.594;47.896;78.922;66.261
113.964;118.405;48.4;125.541;160.309;570.46;40.276;367.932;36.4;58.917;24.165;60.707;39.94;16.982;99.568;104.62;157.498;202.071;193.972;73.132;30.795;96.027;10.76;14.839;161.42;173.52;27.534;38.93;35.644;115.868;28.038;2410.61;12.754;24.931;37.302;22.844;50.899;50.869;43.251;17.01;41.337;101.231;139.012;29.784;111.216;75.25;43.456;53.123;82.317;67.283
118.7;122.594;49.389;125.566;161.65;539.82;39.98;373.805;37.99;59.765;25.366;57.994;39.71;15.358;97.015;115.525;158.484;193.884;185.47;75.642;32.075;91.179;10.609;16.336;166.46;173.85;27.205;41.59;36.965;125.343;32.223;2610.44;13.322;24.689;39.874;22.829;53.192;53.776;40.833;18.138;40.182;104.285;135.668;25.719;113.245;67.68;44.418;54.312;85.137;68.852
120.487;133.133;49.03;128.41;157.768;528.44;38.158;367.214;36.08;59.756;25.055;62.431;44.425;15.625;97.447;120.235;148.968;199.802;177.793;73.726;32.574;85.063;10.08;16.319;155.43;204.46;25.648;40.86;40.087;127.628;33.238;2720.85;12.447;23.254;39.324;24.138;55.423;52.233;40.878;18.556;40.986;89.622;129.835;24.603;107.136;61.96;43.131;53.627;79.078;70.359
124.459;122.909;48.068;133.578;149.943;595.11;39.509;394.191;37.88;62.351;30.687;67.691;48.385;16.957;84.217;116.831;171.31;210.24;175.113;76.715;35.997;84.561;11.177;17.072;155.49;199.2;27.652;41.66;41.643;132.949;32.518;2855.0;12.344;21.98;40.966;25.549;55.51;50.795;45.675;19.33;39.597;90.346;131.719;25.883;108.32;60.88;45.1;61.206;81.166;67.419
